study,forage.species,common.plant.name,family,Bombus.species,interactions
Burkle et al. 2013,Delphinium tricorne,dwarf larkspur,Ranunculaceae,bimaculatus,21
Burkle et al. 2013,Dicentra cucullaria,Dutchman's pipe,Papaveraceae,bimaculatus,9
Burkle et al. 2013,Geranium maculatum,wild geranium,Geraniaceae,bimaculatus,2
Burkle et al. 2013,Hydrophyllum,waterleaf,Boraginaceae,bimaculatus,31
Burkle et al. 2013,Mertensia virginica,Virginia bluebells,Boraginaceae,bimaculatus,8
Burkle et al. 2013,Monarda,bee balm,Lamiaceae,bimaculatus,10
Burkle et al. 2013,Sanicula odorata,black snakeroot,Apiaceae,bimaculatus,1
Burkle et al. 2013,Tradescantia virginiana,spiderwort,Commelinaceae,bimaculatus,4
Burkle et al. 2013,Hydrophyllum,waterleaf,Boraginaceae,griseocollis,12
Burkle et al. 2013,Delphinium tricorne,dwarf larkspur,Ranunculaceae,impatiens,1
Burkle et al. 2013,Hydrophyllum,waterleaf,Boraginaceae,impatiens,1
Burkle et al. 2013,Mertensia virginica,Virginia bluebells,Boraginaceae,impatiens,4
Burkle et al. 2013,Tradescantia virginiana,spiderwort,Commelinaceae,impatiens,2
Burkle et al. 2013,Delphinium tricorne,dwarf larkspur,Ranunculaceae,pensylvanicus,1
Burkle et al. 2013,Delphinium tricorne,dwarf larkspur,Ranunculaceae,vagans,1
Burkle et al. 2013,Monarda,bee balm,Lamiaceae,vagans,1
Burkle et al. 2013,Tradescantia virginiana,spiderwort,Commelinaceae,vagans,1
Burkle et al. 2013,Viola sororia,purple violet,Violaceae,vagans,1
Harder 1985,Cirsium,thistle,Asteraceae,fervidus,17
Harder 1985,Lycopus americanus,bugleweed,Lamiaceae,fervidus,26
Harder 1985,Melilotus,sweet clover,Fabaceae,fervidus,10
Harder 1985,Oenothera biennis,evening-primrose,Onagraceae,fervidus,10
Harder 1985,Prunella vulgaris,self-heal,Lamiaceae,fervidus,37
Harder 1985,Solidago,goldenrod,Asteraceae,fervidus,15
Harder 1985,Solidago,goldenrod,Asteraceae,fervidus,30
Harder 1985,Symphyotrichum novae-angliae,New England aster,Asteraceae,fervidus,15
Harder 1985,Vicia,vetch,Fabaceae,fervidus,24
Harder 1985,Arctium minus,burdock,Asteraceae,griseocollis,18
Harder 1985,Asclepias syriaca,common milkweed,Apocynaceae,griseocollis,13
Harder 1985,Cirsium,thistle,Asteraceae,griseocollis,1
Harder 1985,Lycopus americanus,bugleweed,Lamiaceae,griseocollis,1
Harder 1985,Melilotus,sweet clover,Fabaceae,griseocollis,26
Harder 1985,Solidago,goldenrod,Asteraceae,griseocollis,9
Harder 1985,Solidago,goldenrod,Asteraceae,griseocollis,61
Harder 1985,Spiraea,meadowsweet,Rosaceae,griseocollis,14
Harder 1985,Symphyotrichum novae-angliae,New England aster,Asteraceae,griseocollis,1
Harder 1985,Arctium minus,burdock,Asteraceae,impatiens,2
Harder 1985,Lycopus americanus,bugleweed,Lamiaceae,impatiens,1
Harder 1985,Melilotus,sweet clover,Fabaceae,impatiens,3
Harder 1985,Rubus,raspberry,Rosaceae,impatiens,1
Harder 1985,Solidago,goldenrod,Asteraceae,impatiens,1
Harder 1985,Solidago,goldenrod,Asteraceae,impatiens,43
Harder 1985,Spiraea,meadowsweet,Rosaceae,impatiens,1
Harder 1985,Arctium minus,burdock,Asteraceae,pensylvanicus,3
Harder 1985,Cirsium,thistle,Asteraceae,pensylvanicus,10
Harder 1985,Oenothera biennis,evening-primrose,Onagraceae,pensylvanicus,1
Harder 1985,Prunella vulgaris,self-heal,Lamiaceae,pensylvanicus,4
Harder 1985,Rubus,raspberry,Rosaceae,pensylvanicus,1
Harder 1985,Solidago,goldenrod,Asteraceae,pensylvanicus,4
Harder 1985,Solidago,goldenrod,Asteraceae,pensylvanicus,7
Harder 1985,Symphyotrichum novae-angliae,New England aster,Asteraceae,pensylvanicus,19
Harder 1985,Daucus,wild carrot,Apiaceae,rufocinctus,8
