specimen.id,species,caste,digitizer,its.mm,body.length.mm,scale,x,y,notes
DRA190815-001,vagans,W,JL,,,140.994,1602.333,107.333,
,,,,,,,1227.667,178,
,,,,,,,1275.667,210,
,,,,,,,1357,204.667,
,,,,,,,1417,187.333,
,,,,,,,1485,242,
,,,,,,,1491.667,291.333,
,,,,,,,1466.333,300.667,
,,,,,,,1346.333,287.333,
,,,,,,,1237,298,
,,,,,,,1190.333,260.667,
,,,,,,,1097,250,
,,,,,,,855.667,395.333,
,,,,,,,1147.667,378,
,,,,,,,1162.333,439.333,
,,,,,,,1175.667,456.667,
,,,,,,,1402.333,406,
,,,,,,,1167.667,510,
,,,,,,,885,463.333,
,,,,,,,1195.667,528.667,
DRA190815-002,impatiens,W,JL,4.275624412,17.74775119,140.447,1818.667,78.667,
,,,,,,,1449.333,189.333,
,,,,,,,1500,213.333,
,,,,,,,1578.667,202.667,
,,,,,,,1658.667,169.333,
,,,,,,,1708,212,
,,,,,,,1705.333,262.667,
,,,,,,,1686.667,274.667,
,,,,,,,1564,269.333,
,,,,,,,1470.667,300,
,,,,,,,1422.667,266.667,
,,,,,,,1334.667,272,
,,,,,,,1129.333,442.667,
,,,,,,,1377.333,389.333,
,,,,,,,1390.667,441.333,
,,,,,,,1404,454.667,
,,,,,,,1640,373.333,
,,,,,,,1404,509.333,
,,,,,,,1144,501.333,
,,,,,,,1433.333,528,
DRA190815-003,impatiens,W,JL,4.01207417,17.81981828,141.163,1855,560,
,,,,,,,1493,624,
,,,,,,,1539,656,
,,,,,,,1611,655,
,,,,,,,1681,631,
,,,,,,,1734,679,
,,,,,,,1730,720,
,,,,,,,1711,729,
,,,,,,,1596,717,
,,,,,,,1498,730,
,,,,,,,1465,699,
,,,,,,,1369,693,
,,,,,,,1152,821,
,,,,,,,1402,803,
,,,,,,,1410,851,
,,,,,,,1421,868,
,,,,,,,1656,819,
,,,,,,,1421,918,
,,,,,,,1161,879,
,,,,,,,1448,934,
DRA190815-004,impatiens,W,JL,4.500044577,20.22766202,142.369,2154.667,318.667,
,,,,,,,1754.667,314.667,
,,,,,,,1798.667,356,
,,,,,,,1873.333,370.667,
,,,,,,,1968,362.667,
,,,,,,,2012,422.667,
,,,,,,,1996,472,
,,,,,,,1961.333,477.333,
,,,,,,,1842.667,437.333,
