specimen.id,species,caste,digitizer,its.mm,body.length.mm,scale,x,y,notes
DRA190815-001,vagans,W,JL,,,140.994,1369.667,1737.333,
,,,,,,,1476.333,1874.667,
,,,,,,,1464.333,1888,
,,,,,,,1345.667,1840,
,,,,,,,1191,1758.667,
,,,,,,,1159,1789.333,
DRA190815-002,impatiens,W,JL,4.275624412,17.74775119,141.849,1443.333,605.667,
,,,,,,,1542,728.333,
,,,,,,,1520.667,739,
,,,,,,,1424.667,703,
,,,,,,,1270,632.333,
,,,,,,,1234,657.667,
DRA190815-003,impatiens,W,JL,4.01207417,17.81981828,142.386,1523,513,
,,,,,,,1657,583,
,,,,,,,1646,602,
,,,,,,,1549,598,
,,,,,,,1376,594,
,,,,,,,1345,637,
DRA190815-004,impatiens,W,JL,4.500044577,20.22766202,141.124,1339,212,
,,,,,,,1499,265,
,,,,,,,1492,287,
,,,,,,,1386,310,
,,,,,,,1200,342,
,,,,,,,1183,385,
DRA190805-005,vagans,W,JL,,,204.497,1612.667,748.667,
,,,,,,,1811.333,883.333,
,,,,,,,1799.333,904.667,
,,,,,,,1632.667,890,
,,,,,,,1392.667,859.333,
,,,,,,,1352.667,912.667,
FJ190529-001,impatiens,W,JL,6.147381338,22.94759351,140.221,1581.333,614.667,
,,,,,,,1812,756,
,,,,,,,1785.333,788,
,,,,,,,1601.333,777.333,
,,,,,,,1334.667,749.333,
,,,,,,,1281.333,816,
FJ190716-008,bimaculatus,W,JL,5.052146744,22.17616633,142.672,1634,593,
,,,,,,,1806,677,
,,,,,,,1794,699,
,,,,,,,1657,702,
,,,,,,,1488,709,
,,,,,,,1446,756,
FJ190718-001,vagans,W,JL,3.631008792,19.88254075,141.478,1529.333,524.667,its.large.tilt
,,,,,,,1662.667,615.333,
,,,,,,,1649.333,636.667,
,,,,,,,1541.333,626,
,,,,,,,1370.667,595.333,
,,,,,,,1341.333,640.667,
FJ190718-004,impatiens,W,JL,4.435361917,18.67652701,141.41,1301,618,
,,,,,,,1439,680,
,,,,,,,1436,693,
,,,,,,,1328,710,
,,,,,,,1180,720,
,,,,,,,1160,755,
FJ190724-003,terricola,W,JL,5.345313041,17.88439247,142.16,1666,539,
,,,,,,,1825,638,
,,,,,,,1816,652,
,,,,,,,1695,648,
,,,,,,,1501,628,
,,,,,,,1469,666,
FJ190809-001,ternarius,M,JL,4.028248956,16.04386831,201.433,1606,517.333,
,,,,,,,1783.333,626.667,
,,,,,,,1771.333,650.667,
,,,,,,,1615.333,656,
,,,,,,,1390,636,
,,,,,,,1343.333,686.667,
FJ190809-002,ternarius,W,JL,3.311960639,13.90488206,202.015,1577,366,its.large.tilt
,,,,,,,1746,441,
,,,,,,,1730,465,
,,,,,,,1600,478,
,,,,,,,1411,480,
,,,,,,,1383,527,
FJ190809-003,borealis,W,JL,5.207365159,19.82532391,142.424,1625.333,570.667,
,,,,,,,1782.667,668,
,,,,,,,1770.667,689.333,
,,,,,,,1638.667,700,
,,,,,,,1470.667,689.333,
,,,,,,,1428,740,
FJ190809-004,ternarius,W,JL,4.100345255,15.47614673,202.345,1671,663,its.large.tilt
,,,,,,,1835,763,
,,,,,,,1828,778,
,,,,,,,1683,776,
,,,,,,,1488,758,
,,,,,,,1449,797,
FJ190809-005,ternarius,W,JL,4.242421828,15.80833933,203.007,1491,475,
,,,,,,,1671,569,
,,,,,,,1657,594,
,,,,,,,1516,600,
,,,,,,,1312,594,
,,,,,,,1276,646,
FJ190809-006,ternarius,W,JL,4.256094505,14.94658535,201.7,1733,368,its.large.tilt
,,,,,,,1911,481,
,,,,,,,1896,500,
,,,,,,,1759,499,
,,,,,,,1544,472,
,,,,,,,1506,518,
FJ190809-007,ternarius,W,JL,4.20787918,14.29396789,201.173,1458,432,
,,,,,,,1625,550,
,,,,,,,1612,564,
,,,,,,,1457,556,
,,,,,,,1247,529,
,,,,,,,1205,578,
FJ190809-008,ternarius,W,JL,4.070088268,13.6186886,142.728,1132.333,329.667,its.large.tilt
,,,,,,,1259.667,397,
,,,,,,,1248.333,414.333,
,,,,,,,1145.667,414.333,
,,,,,,,996.333,407.667,
,,,,,,,973,450.333,
FJ190809-009,ternarius,W,JL,3.469178965,12.51358725,204.444,1563,504.333,its.large.tilt
,,,,,,,1718.333,598.333,
,,,,,,,1704.333,615.667,
,,,,,,,1571,613,
,,,,,,,1384.333,601.667,
,,,,,,,1360.333,645,
FJ190809-010,ternarius,W,JL,4.133157768,14.7012227,202.518,1487,279,
,,,,,,,1664,364,
,,,,,,,1649,387,
,,,,,,,1502,395,
,,,,,,,1295,399,
,,,,,,,1268,444,
FJ190809-012,ternarius,W,JL,3.699214487,14.45128018,201.682,1519,375,its.large.tilt
,,,,,,,1696,468,
,,,,,,,1680,494,
,,,,,,,1533,502,
,,,,,,,1333,493,
,,,,,,,1292,544,
FJ190809-013,ternarius,W,JL,5.161640885,13.88996231,141.603,1429.667,417.667,its.large.tilt
,,,,,,,1538.333,495,
,,,,,,,1528.333,511.667,
,,,,,,,1439,507,
,,,,,,,1298.333,483.667,
,,,,,,,1269.667,517,
FJ190809-014,ternarius,W,JL,3.820026505,13.86262594,202.334,1561,301,its.slight.tilt
,,,,,,,1743,385,
,,,,,,,1727,409,
,,,,,,,1583,420,
,,,,,,,1369,421,
,,,,,,,1345,473,
FJ190814-001,bimaculatus,M,JL,4.877006377,19.97131267,141.929,1599,629,
,,,,,,,1772,711,
,,,,,,,1762,735,
,,,,,,,1606,742,
,,,,,,,1421,750,
,,,,,,,1386,797,
FJ190814-002,impatiens,M,JL,4.656243927,17.65794566,141.35,1601,465,
,,,,,,,1763,570,
,,,,,,,1752,586,
,,,,,,,1605,572,
,,,,,,,1417,555,
,,,,,,,1376,597,
FJ190814-003,bimaculatus,M,JL,,23.31932456,142.909,1471,432,
,,,,,,,1658,515,
,,,,,,,1645,539,
,,,,,,,1506,550,
,,,,,,,1285,552,
,,,,,,,1256,606,
FJ190814-004,bimaculatus,W,JL,3.509977088,17.33515535,203.339,1471,365,its.large.tilt
,,,,,,,1660,459,
,,,,,,,1646,489,
,,,,,,,1517,496,
,,,,,,,1268,501,
,,,,,,,1233,555,
FJ190814-005,bimaculatus,M,JL,4.955906605,20.1847841,204.109,1741.667,336.667,
,,,,,,,1999,467.333,
,,,,,,,1976.333,495.333,
,,,,,,,1775,504.667,
,,,,,,,1497.667,503.333,
,,,,,,,1436.333,576.667,
FJ190814-007,impatiens,W,JL,4.78013034,17.61118083,202.081,1452.333,273.333,its.large.tilt
,,,,,,,1657.667,364,
,,,,,,,1641.667,386.667,
,,,,,,,1508.333,401.333,
,,,,,,,1241.667,417.333,
,,,,,,,1209.667,473.333,
FJ190814-009,bimaculatus,W,JL,3.615884687,18.72635768,140.901,1574,516,its.large.tilt
,,,,,,,1726,610.667,
,,,,,,,1711.333,633.333,
,,,,,,,1580.667,625.333,
,,,,,,,1398,610.667,
,,,,,,,1354,654.667,
FJ190822-001,impatiens,W,JL,4.743933079,14.44409535,142.673,922.333,1072,its.slight.tilt
,,,,,,,1079.667,1153.333,
,,,,,,,1066.333,1169.333,
,,,,,,,953,1174.667,
,,,,,,,761,1176,
,,,,,,,734.333,1217.333,
FJ190822-002,impatiens,W,JL,5.090427452,23.18675042,141.824,1216.333,277.333,its.large.tilt
,,,,,,,1393.667,389.333,
,,,,,,,1373.667,408,
,,,,,,,1243,405.333,
,,,,,,,1023,389.333,
,,,,,,,976.333,436,
FJ190822-003,impatiens,W,JL,5.886417908,22.53778208,141.788,1296.333,1504,its.slight.tilt
,,,,,,,1484.333,1606.667,
,,,,,,,1469.667,1628,
,,,,,,,1323,1626.667,
,,,,,,,1087,1622.667,
,,,,,,,1055,1676,
FJ190822-004,bimaculatus,M,JL,,,204.401,1519,361.333,
,,,,,,,1752.333,474.667,
,,,,,,,1731,505.333,
,,,,,,,1537.667,520,
,,,,,,,1280.333,528,
,,,,,,,1229.667,601.333,
FJ190822-006,bimaculatus,M,JL,5.266549432,19.19761235,141.016,1350,635,its.large.tilt
,,,,,,,1520,738,
,,,,,,,1499,759,
,,,,,,,1350,749,
,,,,,,,1163,738,
,,,,,,,1122,784,
FJ190822-007,bimaculatus,M,JL,5.553388075,18.79451766,142.016,1761,585,
,,,,,,,1929,701,
,,,,,,,1913,725,
,,,,,,,1773,713,
,,,,,,,1569,682,
,,,,,,,1516,727,
FJ190827-002,borealis,W,JL,6.340911606,23.47530012,198.844,1183,577.333,
,,,,,,,1415,721.333,
,,,,,,,1392.333,756,
,,,,,,,1203,772,
,,,,,,,913.667,762.667,
,,,,,,,855,846.667,
FJ190827-003,vagans,W,JL,4.605100386,19.52132322,141.319,1209,604,its.large.tilt
,,,,,,,1383,671,
,,,,,,,1371,690,
,,,,,,,1244,703,
,,,,,,,1051,709,
,,,,,,,1022,755,
FJ190827-004,vagans,W,JL,4.346619103,17.95306681,142.41,1425,734,its.slight.tilt
,,,,,,,1577,829,
,,,,,,,1565,849,
,,,,,,,1439,846,
,,,,,,,1251,817,
,,,,,,,1225,860,
FJ190827-005,borealis,W,JL,5.920946109,24.57817257,201.66,1708.667,516.333,its.slight.tilt
,,,,,,,1931.333,675,
,,,,,,,1904.667,707,
,,,,,,,1707.333,680.333,
,,,,,,,1426,635,
,,,,,,,1363.333,701.667,
FJ190827-007,borealis,W,JL,5.575438361,19.27320567,142.235,1560.667,391,
,,,,,,,1714,509.667,
,,,,,,,1704.667,527,
,,,,,,,1552.667,524.333,
,,,,,,,1364.667,499,
,,,,,,,1314,555,
FJ190827-008,impatiens,W,JL,,,142.692,1577,585.333,
,,,,,,,1723.667,677.333,
,,,,,,,1707.667,694.667,
,,,,,,,1590.333,686.667,
,,,,,,,1402.333,669.333,
,,,,,,,1369,713.333,
FJ190827-009,borealis,W,JL,4.507204068,19.80118863,205.372,1770,321.333,its.large.tilt
,,,,,,,1974,488,
,,,,,,,1951.333,516,
,,,,,,,1768.667,506.667,
,,,,,,,1499.333,454.667,
,,,,,,,1420.667,516,
FJ190827-010,bimaculatus,W,JL,4.200724173,17.66625291,202.815,1609.667,454,its.large.tilt
,,,,,,,1832.333,552.667,
,,,,,,,1820.333,578,
,,,,,,,1652.333,599.333,
,,,,,,,1408.333,611.333,
,,,,,,,1360.333,670,
FJ190827-011,vagans,W,JL,4.612574824,,202.364,1638,256,I think this is supposed to be FJ190827-001
,,,,,,,1858,401.333,
,,,,,,,1842,424,
,,,,,,,1655.333,409.333,
,,,,,,,1388.667,369.333,
,,,,,,,1342,432,
