specimen.id,species,caste,image.initials,digitizer,its.mm,body.length.mm,l1_femurL_1,l1_femurL_2,l1_femurW_1,l1_femurW_2,l1_tibiaL_1,l1_tibiaL_2,l1_tibiaW_1,l1_tibiaW_2,l1_btarsL_1,l1_btarsL_2,l1_btarsW_1,l1_btarsW_2,l2_femurL_1,l2_femurL_2,l2_femurW_1,l2_femurW_2,l2_tibiaL_1,l2_tibiaL_2,l2_tibiaW_1,l2_tibiaW_2,l2_btarsL_1,l2_btarsL_2,l2_btarsW_1,l2_btarsW_2,l3_femurL_1,l3_femurL_2,l3_femurW_1,l3_femurW_2,l3_tibiaL_1,l3_tibiaL_2,l3_tibiaW_1,l3_tibiaW_2,l3_btarsL_1,l3_btarsL_2,l3_btarsW_1,l3_btarsW_2,notes
AAL230713-001,vagans,W,MEM,MEM,3.00259082,11.3624699,1.739090978,,0.587288476,,1.351208008,,0.529985545,,1.239601787,,0.285900599,,2.046293378,,0.812218104,,1.692449816,,0.795241873,,1.712224625,,0.466830053,,2.309653194,,0.763647825,,2.642238428,,0.93908337,,1.842899219,,0.788606797,,
AOI190715-001,impatiens,W,CL,DMO,3.692388366,13.24034582,,,,,2.393,1.922,0.642,0.594,1.475,1.742,0.594,0.521,2.507,2.896,1.009,0.995,2.383,2.225,0.775,0.909,2.484,2.44,0.607,0.654,3.095,3.081,1.169,0.843,3.332,3.163,1.249,1.241,2.49,2.288,1.191,1.203,
ASD230629-001,borealis,W,MEM,MEM,7.18046027,26.2824995,3.369640865,,0.898829356,,2.825610861,,0.796519834,,2.245210755,,0.675421529,,4.173150992,,1.489647218,,3.844818374,,1.115625914,,3.564345713,,0.949521166,,5.205949239,,1.589395618,,5.598174545,,1.927517895,,3.992302194,,1.548699224,,
ASD230630-001,impatiens,W,MEM,MEM,4.28928367,16.5257704,2.465947954,,0.680409551,,1.869642538,,0.626179878,,1.757100315,,0.404225989,,2.725668466,,0.966447791,,2.504377519,,0.900921804,,2.628700108,,0.758305185,,3.141743221,,1.077153771,,3.917595311,,1.173253991,,2.746519557,,1.311619366,,
ASD230713-001,vagans,W,MEM,MEM,4.96488631,15.6752577,2.558336805,,0.773735522,,2.078049051,,0.641029914,,2.076982474,,0.392806155,,3.306468905,,1.193972724,,3.150770769,,1.023225842,,3.003121962,,0.587056634,,3.91931228,,1.209938061,,4.5565314,,1.529578091,,2.783851346,,1.071716246,,
CAP220712-004,vagans,W,MEM,MEM,3.93240283,12.1845882,1.764207523,,0.605498306,,1.660632911,,0.576054555,,1.301360314,,0.334872526,,2.143184168,,0.784615796,,1.90840435,,0.735227313,,1.966639329,,0.581986094,,2.357880192,,0.920201462,,2.762417543,,0.873241219,,2.095539311,,0.78898021,,
DMO180529-005,vagans,W,PF,DMO,6.492,,3.34,,1.187,,2.763,,0.823,,2.14,,0.769,,4.343,3.922,1.679,1.537,3.387,3.432,1.296,1.324,3.467,3.65,0.973,1.009,4.606,,1.51,,5.548,,1.628,,3.254,,1.316,,
DPD230713-001,borealis,W,MEM,MEM,6.788133007,,3.375114877,,1.247539434,,2.896038851,,0.977067919,,2.895858431,,0.87838968,,4.545648976,,1.784355367,,3.9007899,,1.557263486,,4.006538331,,1.078046507,,5.370561162,,1.890239113,,6.061618929,,1.958043049,,3.953821983,,1.570597621,,
DRA170914-004,impatiens,W,MEM,MEM,,,2.294152743,,0.584861917,,1.957818978,,0.623217748,,1.886885417,,0.272167298,,2.958639558,,0.987184265,,2.507297427,,0.901012646,,2.669842084,,0.558685783,,3.134750655,,1.100967138,,3.826456351,,1.070958645,,2.736701413,,1.180194288,,
DRA170916-001,impatiens,W,MEM,MEM,4.538788204,16.4217438,2.625614453,,0.555561589,,2.103276898,,0.667452543,,1.748413422,,0.355307288,,3.395272756,,1.111651258,,2.912720898,,0.981710114,,2.933984505,,0.694356483,,3.544797766,,1.223508504,,4.223497268,,1.496884895,,3.122503094,,1.329618678,,
