specimen_id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,species,caste,investigator,scale,scale1,body,scale2,its,notes
AO190715-001,2.241634594,0.661316689,3.194716139,0.214457071,0.095235062,2.050958234,0.34575899,0.740792973,0.193463565,0.277904653,2.011452106,0.234152511,3.006678374,0.68224044,0.440132718,imp,W,JL,329.721,70.027,1130.916,68.467,280.492,
AOI190709-001,2.531505976,0.723273587,4.013925093,0.259032547,0.092895822,2.414460145,0.415690848,0.850625035,0.246967631,0.321790288,2.355511528,0.364045742,3.836494153,0.714622356,0.526930185,ferv,W,JL,247.826,70.218,1276.597,68.469,320.899,
DRA190709-001,2.855668938,1.050653786,4.06554605,0.293111386,0.134005257,2.748744329,0.421081049,0.976251067,0.258320916,NA,2.755190109,0.419503089,3.952456093,0.853659864,0.63732023,san,W,JL,238.916,66.483,1554.397,68.893,406.079,
DRA190709-003,2.410454788,0.631342754,3.822098058,0.234335569,0.100994004,2.333627881,0.389748952,0.912565502,0.227436196,0.303487502,2.189478071,0.336977241,3.718291055,0.745938708,0.47204365,bim,W,JL,259.154,68.623,1200.514,69.986,291.671,
DRA190709-004,2.290845348,0.71878773,3.226654959,0.24105938,0.127831976,2.113834314,0.334749456,0.79666587,0.205090294,0.300052298,2.017503535,0.272211928,3.015676349,0.71270572,0.484236488,imp,W,JL,154.883,72.5105,1210.703,68.899,296.985,its.no.tilt; fur.yes
DRA190709-006,2.132957741,0.662096716,2.818988179,0.212578648,0.094371495,1.821901602,0.357553864,0.745130851,0.240912556,0.284120421,1.92979315,0.26811083,2.904208172,0.621976256,0.450571455,vag,W,JL,316.123,69.355,1192.078,69.408,289.8,
DRA190709-008,2.260180205,0.654151375,3.145228525,0.22767993,0.101161233,1.953401816,0.360001553,0.755351444,0.165407694,0.322860231,2.063994019,0.340479381,3.121534588,0.660106414,0.463667786,vag,W,JL,308.982,68.843,1247.938,69.087,280.179,
DRA190709-009,2.452235986,0.730975512,3.479307032,0.231589462,0.113812914,2.333874118,0.337672335,0.841855464,0.225653554,0.348360786,2.137728322,0.338543953,3.281252585,0.632807182,0.54362224,vag,W,JL,157.179,69.291,1263.265,69.01,243.019,its.large.tilt; fur.yes
DRA190709-010,2.42579476,0.667096795,3.560201122,0.253166298,0.113549854,2.14455955,0.397511458,0.884658169,0.228288965,0.320610162,2.312386485,0.314093514,3.389101706,0.673249384,0.516206672,bim,W,JL,247.213,67.301,1343.897,69.338,304.401,
DRA190709-011,2.610634422,0.730774119,3.997759589,0.245565068,0.127171575,2.623629749,0.414033634,0.900188741,0.231779009,0.351372723,2.450967472,0.405495597,3.823148719,0.766291225,0.52247236,bim,W,JL,212.461,69.626,1322.785,66.53,300.533,
DRA190709-012,2.437767618,0.640075729,3.751227568,0.230694246,0.107031077,2.448216552,0.369821353,0.842806791,0.214855693,0.272848482,2.249408874,0.337403073,3.738019375,0.708972629,0.56187388,bim,W,JL,248.255,69.872,1418.656,69.402,296.196,
DRA190709-014,2.04849174,0.626617143,2.898558101,0.204069273,0.093475376,2.007905317,0.334297606,0.744952066,0.179129191,NA,2.009461253,0.294593846,3.022417725,0.60275623,0.422051774,vag,W,JL,310.424,71.049,1095.73,71.005,270.969,
