specimen.id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,digitizer,species.det,provisional.species,caste,its,body.length,scale,name,description
DRA220815-023,3.015663393,0.779198485,6.854619259,0.320581616,0.109958594,3.282857396,0.38268222,1.06337146,0.245874887,0.419176083,3.251533101,0.557558396,4.542414348,0.569259783,0.583366821,DRA,borealis,borealis,W,5.372300704,18.95427335,184.69434,m01,Mentum length
OW220616-05,2.513971369,NA,4.503867499,0.176225873,0.16707691,2.467785116,NA,0.996810532,0.260831297,0.357587485,2.557247577,0.393290543,4.040632845,0.660865085,0.529708988,DRA,bimaculatus,bimaculatus,W,4.060044072,14.8035263,180.47838,m01,Mentum length
OW220616-07,2.202197516,0.826466907,5.927965614,0.292587332,0.172433049,2.642903157,0.547353157,1.096772508,0.253268882,0.329146388,2.793818384,0.33662742,4.136350283,0.783664272,0.486199048,DRA,bimaculatus,bimaculatus,W,4.863165236,16.66605715,182.01099,m01,Mentum length
OW220616-08,2.731410592,1.019113442,5.746817458,0.299337489,0.146993781,2.580172992,0.274392008,0.899251946,0.129213511,0.333799981,2.621577437,0.543932938,3.80365776,0.761255172,0.423146225,DRA,bimaculatus,bimaculatus,W,4.147567774,16.07217861,178.67164,m01,Mentum length
OW220621-003a,2.174087313,0.93290023,6.785288046,0.266470759,0.137807698,3.08165527,0.364451724,1.022774148,0.193883838,0.325855513,2.996159728,0.290801711,4.242882841,0.745608844,0.609413722,DRA,bimaculatus,bimaculatus,W,4.066343012,17.42602119,178.40404,m01,Mentum length
CAP220712-009,2.770148909,0.680954638,6.701671904,0.248773888,0.122746232,2.85524358,0.352183188,0.991249274,0.222989156,0.342288252,2.775256651,0.361453542,4.407043924,0.619028428,0.507611414,DRA,borealis,fervidus,W,4.318937754,16.00800839,204.08822,m01,Mentum length
CAP220712-017,2.164636593,1.279253037,4.50967763,0.224188815,0.126794407,2.164497185,0.394544407,0.891969963,0.231414815,0.416340519,2.588748481,0.300182852,3.299918481,0.744435222,0.67812737,DRA,vagans,cf sandersoni,W,3.401272276,12.8577139,270,m01,Mentum length
DRA170708-901,2.524313629,1.344657374,6.045264338,0.281713644,0.149817653,2.518989607,0.3678132,0.996564061,0.237417387,0.395523051,2.8016257,0.334223009,3.553695959,0.767665087,0.540089299,DRA,perplexus,cf perplexus,W,3.718285764,16.51166189,249.39037,m01,Mentum length
DRA170708-902,2.801836339,0.83189183,5.074147277,0.28375442,0.145757411,2.545559911,0.253098705,1.028574196,0.160824464,0.292212813,2.804708616,0.320324375,3.75317808,0.594106071,0.292818438,DRA,perplexus,cf perplexus,W,NA,15.27606583,224,m01,Mentum length
DRA220617-015,NA,0.702283624,4.720431467,0.247187415,0.106500917,2.077020683,0.226523576,0.839746395,0.149839354,0.313860472,2.302213371,0.264495834,2.925069946,0.60253278,0.417577208,DRA,ternarius,ternarius,W,3.862376458,13.95914052,320.89874,m01,Mentum length
DRA220717-001,3.999184903,0.911976375,8.65354341,0.357572283,0.127404736,4.270522372,0.537521149,1.195684561,0.27755973,0.5166753,4.234524956,0.295005626,5.316622993,0.605984285,0.400090198,DRA,borealis,borealis,W,5.872149618,25.44993772,178.98479,m01,Mentum length
OW220614-015,2.177103881,0.753851898,4.145988172,0.251339745,0.089019623,2.253647525,0.286375682,0.530923901,0.20240586,0.244708495,2.344301178,0.583772726,2.619751303,0.51480285,0.301136362,DRA,griseocollis,griseocollis,W,4.496612614,15.50736438,327.12383,m01,Mentum length
OW220614-018,3.576205947,0.981191478,5.618126291,0.220026642,0.163129336,3.201466727,0.51586026,1.083875553,0.245297891,0.297618343,2.922604301,0.721117825,4.285166202,0.989251974,0.703561294,DRA,ternarius,ternarius,Q,6.105281139,24.58197832,228.87551,m01,Mentum length
