specimen_id,species,caste,investigator,LM,scale,measurement,scale1,body,scale2,its,notes
MM190709-001,vag,W,JL,1,303.374,667.344,70.432,1256.471,69.863,265.002,
,,,,2,,200.98,,,,,
,,,,3,,886.358,,,,,
,,,,4,,63.906,,,,,
,,,,5,,30.414,,,,,
,,,,6,,568.388,,,,,
,,,,7,,90.05,,,,,
,,,,8,,226.084,,,,,
,,,,9,,53.038,,,,,
,,,,10,,89.592,,,,,
,,,,11,,597.476,,,,,
,,,,12,,82.489,,,,,
,,,,13,,935.766,,,,,
,,,,14,,189.447,,,,,
,,,,15,,132.185,,,,,
JL190809-005,vag,W,JL,1,242.195,662.05,138.378,2463.597,138.408,582.417,
,,,,2,,167.72,,,,,
,,,,3,,1015.039,,,,,
,,,,4,,61.351,,,,,
,,,,5,,21.19,,,,,
,,,,6,,661.635,,,,,
,,,,7,,91.788,,,,,
,,,,8,,221.049,,,,,
,,,,9,,51.01,,,,,
,,,,10,,74.187,,,,,
,,,,11,,612.679,,,,,
,,,,12,,86.412,,,,,
,,,,13,,1004.242,,,,,
,,,,14,,187.072,,,,,
,,,,15,,118.533,,,,,
JL190809-003,vag,W,JL,1,302.777,690.49,139.481,2278.458,136.228,560.879,
,,,,2,,205.295,,,,,
,,,,3,,952.981,,,,,
,,,,4,,74.108,,,,,
,,,,5,,28.653,,,,,
,,,,6,,650.48,,,,,
,,,,7,,95.462,,,,,
,,,,8,,223.852,,,,,
,,,,9,,56.08,,,,,
,,,,10,,96.926,,,,,
,,,,11,,681.473,,,,,
,,,,12,,94.729,,,,,
,,,,13,,973.059,,,,,
,,,,14,,208.079,,,,,
,,,,15,,157.035,,,,,
JL190716-005,vag,W,JL,1,214.777,618.466,69.93,979.423,69.004,250.545,
,,,,2,,182.275,,,,,
,,,,3,,893.253,,,,,
,,,,4,,62.514,,,,,
,,,,5,,25.02,,,,,
,,,,6,,470.532,,,,,
,,,,7,,97.862,,,,,
,,,,8,,227.021,,,,,
,,,,9,,52.202,,,,,
,,,,10,,70.403,,,,,
,,,,11,,545.22,,,,,
,,,,12,,72.705,,,,,
,,,,13,,869.454,,,,,
,,,,14,,169.753,,,,,
,,,,15,,117.444,,,,,
JL190716-003,vag,W,JL,1,299.223,635.328,70.711,1057.98,69.168,257,
,,,,2,,178.676,,,,,
,,,,3,,873.861,,,,,
,,,,4,,63.063,,,,,
,,,,5,,28.636,,,,,
,,,,6,,518.172,,,,,
,,,,7,,95.336,,,,,
,,,,8,,232.558,,,,,
,,,,9,,57.245,,,,,
,,,,10,,85.238,,,,,
,,,,11,,574.638,,,,,
,,,,12,,78.627,,,,,
,,,,13,,832.004,,,,,
,,,,14,,179.388,,,,,
,,,,15,,121.926,,,,,
JL190710-001,vag,W,JL,1,254.726,649.705,71.203,1473.545,70.261,310.644,
,,,,2,,198.58,,,,,
,,,,3,,916.872,,,,,
,,,,4,,67.602,,,,,
,,,,5,,28.16,,,,,
,,,,6,,575.71,,,,,
,,,,7,,91.761,,,,,
,,,,8,,238.546,,,,,
,,,,9,,63.561,,,,,
,,,,10,,83.262,,,,,
,,,,11,,592.22,,,,,
,,,,12,,86.071,,,,,
,,,,13,,895.402,,,,,
,,,,14,,172.026,,,,,
,,,,15,,122.147,,,,,
JL190703-004,vag,W,JL,1,300.269,681.754,69.39,1162.612,69.721,300.167,
,,,,2,,217.479,,,,,
,,,,3,,946.54,,,,,
,,,,4,,66.4,,,,,
,,,,5,,37.014,,,,,
,,,,6,,610.234,,,,,
,,,,7,,105.759,,,,,
,,,,8,,234.635,,,,,
,,,,9,,60.877,,,,,
,,,,10,,88.649,,,,,
,,,,11,,658.174,,,,,
,,,,12,,69.487,,,,,
,,,,13,,934.547,,,,,
,,,,14,,204.01,,,,,
,,,,15,,146.711,,,,,
JL190703-002,vag,W,JL,1,307.639,646.734,68.362,1163.95,69.995,259.106,
,,,,2,,210.44,,,,,
,,,,3,,919.679,,,,,
,,,,4,,69.778,,,,,
,,,,5,,29.833,,,,,
,,,,6,,596.915,,,,,
,,,,7,,102.24,,,,,
,,,,8,,225.584,,,,,
,,,,9,,63.388,,,,,
,,,,10,,93.867,,,,,
,,,,11,,598.339,,,,,
,,,,12,,106.417,,,,,
,,,,13,,908.609,,,,,
,,,,14,,194.165,,,,,
,,,,15,,131.746,,,,,
FJ190827-004,vag,W,JL,1,207.307,630.074,138.481,2880.992,140.676,644.023,
,,,,2,,168.76,,,,,
,,,,3,,985.699,,,,,
,,,,4,,55.082,,,,,
,,,,5,,22.204,,,,,
,,,,6,,669.245,,,,,
,,,,7,,91.706,,,,,
,,,,8,,222.639,,,,,
,,,,9,,45.88,,,,,
,,,,10,,NA,,,,,
,,,,11,,589.612,,,,,
,,,,12,,63.96,,,,,
,,,,13,,968.189,,,,,
,,,,14,,168.345,,,,,
,,,,15,,133.094,,,,,
FJ190827-003,vag,W,JL,1,213.27,655.229,139.007,2722.257,138.199,653.449,
,,,,2,,171.234,,,,,
,,,,3,,1066.345,,,,,
,,,,4,,59.908,,,,,
,,,,5,,26.077,,,,,
,,,,6,,637.043,,,,,
,,,,7,,95.189,,,,,
,,,,8,,229.884,,,,,
,,,,9,,51.088,,,,,
,,,,10,,62.858,,,,,
,,,,11,,599.061,,,,,
,,,,12,,86.565,,,,,
,,,,13,,959.434,,,,,
,,,,14,,170.309,,,,,
,,,,15,,119.57,,,,,
FJ190827-001,vag,W,JL,1,252.446,766.061,138.7,2790.819,140.252,639.253,redo base
,,,,2,,225.471,,,,,
,,,,3,,1230.209,,,,,
,,,,4,,67.535,,,,,
,,,,5,,30,,,,,
,,,,6,,775.326,,,,,
,,,,7,,108.259,,,,,
,,,,8,,266.812,,,,,
,,,,9,,60,,,,,
,,,,10,,65.083,,,,,
,,,,11,,738.434,,,,,
,,,,12,,95.215,,,,,
,,,,13,,1177.681,,,,,
,,,,14,,205.056,,,,,
,,,,15,,152.738,,,,,
FJ190716-010,vag,W,JL,1,255.676,658.335,68.132,1446.867,68.602,313.439,
,,,,2,,194.064,,,,,
,,,,3,,970.189,,,,,
,,,,4,,61.131,,,,,
,,,,5,,25.318,,,,,
,,,,6,,620.883,,,,,
,,,,7,,97.509,,,,,
,,,,8,,234.4,,,,,
,,,,9,,58.181,,,,,
,,,,10,,88.653,,,,,
,,,,11,,617.948,,,,,
,,,,12,,60.882,,,,,
,,,,13,,977.652,,,,,
,,,,14,,181.218,,,,,
,,,,15,,124.016,,,,,
FJ190716-003,vag,W,JL,1,256.323,610.02,68.98,1141.602,69.453,282.899,
,,,,2,,185.946,,,,,
,,,,3,,882.956,,,,,
,,,,4,,61.392,,,,,
,,,,5,,26.306,,,,,
,,,,6,,548.951,,,,,
,,,,7,,98.229,,,,,
,,,,8,,235.48,,,,,
,,,,9,,51.225,,,,,
,,,,10,,89.364,,,,,
,,,,11,,560.803,,,,,
,,,,12,,86.177,,,,,
,,,,13,,866.987,,,,,
,,,,14,,178.37,,,,,
,,,,15,,125.3,,,,,
FJ190709-011,vag,W,JL,1,263.093,662.157,69.452,1569.077,69.409,298.965,
,,,,2,,195.494,,,,,
,,,,3,,979.892,,,,,
,,,,4,,67.683,,,,,
,,,,5,,32,,,,,
,,,,6,,604.567,,,,,
,,,,7,,110.168,,,,,
,,,,8,,246.126,,,,,
,,,,9,,66.008,,,,,
,,,,10,,93.263,,,,,
,,,,11,,610.237,,,,,
,,,,12,,95.365,,,,,
,,,,13,,950.617,,,,,
,,,,14,,216.19,,,,,
,,,,15,,153.883,,,,,
FJ190709-001,vag,W,JL,1,307.724,716.308,69.697,1304.099,69.012,284.113,vag all has hairy tips
,,,,2,,201.95,,,,,
,,,,3,,927.646,,,,,
,,,,4,,69.065,,,,,
,,,,5,,25.298,,,,,
,,,,6,,608.573,,,,,
,,,,7,,101.193,,,,,
,,,,8,,205.684,,,,,
,,,,9,,61.27,,,,,
,,,,10,,78.273,,,,,
