specimen.ID,digitizer,species.det,provisional.species,caste,ITS,body.length,scale,name,description,value
DRA220815-023,DRA,borealis,borealis,W,5.372300704,18.95427335,184.69434,m01,Mentum length,556.97596
,,,,,,,180.39956,m02,Mentum width,143.91355
,,,,,ITS scale,BL scale,186.86894,m03,Glossa length,1266.00938
,,,,,160.79801,176.72578,,m04,"Glossa width, at mid-point",59.20961
,,,,,188.67962,177.13272,,m05,Flabellum length,20.30873
,,,,,180.70971,182.70194,,m06,Labial palpomere 1 length,606.32518
,,,,,,,,m07,Labial palpomere 1 width,70.67924
,,,,,raw,raw,,m08,Labial palpomere 2 length,196.39869
,,,,,949.44194,3390.03775,,m09,Labial palpomere 2 width,45.4117
,,,,,,,,m10,Distal labial palpomeres length,77.41945
,,,,,,,,m11,Stipes length,600.53976
,,,,,,,,m12,Maxillary palp length,102.97788
,,,,,,,,m13,Galea length,838.95822
,,,,,,,,m14,Galea width,105.13906
,,,,,,,,m15,"Stipes width, across from palp",107.74455
OW220616-05,DRA,bimaculatus,bimaculatus,W,4.060044072,14.8035263,180.47838,m01,Mentum length,453.71748
,,,,,,,175.64611,m02,Mentum width,NA
,,,,,ITS scale,BL scale,180.5867,m03,Glossa length,812.85071
,,,,,174,178.3333333,168.7075,m04,"Glossa width, at mid-point",31.80496
,,,,,180,,188.91033,m05,Flabellum length,30.15377
,,,,,174.04597,,,m06,Labial palpomere 1 length,445.38186
,,,,,,,,m07,Labial palpomere 1 width,NA
,,,,,raw,raw,,m08,Labial palpomere 2 length,179.90275
,,,,,714.62997,2639.96219,,m09,Labial palpomere 2 width,47.07441
,,,,,,,,m10,Distal labial palpomeres length,64.53681
,,,,,,,,m11,Stipes length,461.5279
,,,,,,,,m12,Maxillary palp length,70.98044
,,,,,,,,m13,Galea length,729.24687
,,,,,,,,m14,Galea width,119.27186
,,,,,,,,m15,"Stipes width, across from palp",95.60102
OW220616-07,DRA,bimaculatus,bimaculatus,W,4.863165236,16.66605715,182.01099,m01,Mentum length,400.82415
,,,,,,,184,m02,Mentum width,150.42606
,,,,,ITS scale,BL scale,180.01111,m03,Glossa length,1078.95489
,,,,,158.68907,180.01111,168.04761,m04,"Glossa width, at mid-point",53.25411
,,,,,168.0119,176.025565,176.01136,m05,Flabellum length,31.38471
,,,,,,176.01136,,m06,Labial palpomere 1 length,481.03742
,,,,,,,,m07,Labial palpomere 1 width,99.62429
,,,,,raw,raw,,m08,Labial palpomere 2 length,199.62465
,,,,,794.4004,2955.71432,,m09,Labial palpomere 2 width,46.09772
,,,,,,,,m10,Distal labial palpomeres length,59.90826
,,,,,,,,m11,Stipes length,508.50565
,,,,,,,,m12,Maxillary palp length,61.26989
,,,,,,,,m13,Galea length,752.86121
,,,,,,,,m14,Galea width,142.63551
,,,,,,,,m15,"Stipes width, across from palp",88.49357
OW220616-08,DRA,bimaculatus,bimaculatus,W,4.147567774,16.07217861,178.67164,m01,Mentum length,488.02561
,,,,,,,182.71046,m02,Mentum width,182.08667
,,,,,ITS scale,BL scale,189.37558,m03,Glossa length,1026.7933
,,,,,177.715278,176.930721,,m04,"Glossa width, at mid-point",53.48312
,,,,,,,,m05,Flabellum length,26.26362
,,,,,,,,m06,Labial palpomere 1 length,461.00374
,,,,,,,,m07,Labial palpomere 1 width,49.02607
,,,,,raw,raw,,m08,Labial palpomere 2 length,160.67082
,,,,,737.08616,2843.66215,,m09,Labial palpomere 2 width,23.08679
,,,,,,,,m10,Distal labial palpomeres length,59.64059
,,,,,,,,m11,Stipes length,468.40154
,,,,,,,,m12,Maxillary palp length,97.18539
,,,,,,,,m13,Galea length,679.60577
,,,,,,,,m14,Galea width,136.01471
,,,,,,,,m15,"Stipes width, across from palp",75.60423
OW220621-003a,DRA,bimaculatus,bimaculatus,W,4.066343012,17.42602119,178.40404,m01,Mentum length,387.86596
,,,,,,,178,m02,Mentum width,166.43317
,,,,,raw,raw,176,m03,Glossa length,1210.5228
,,,,,732.3633,3138.49037,188.01064,m04,"Glossa width, at mid-point",47.53946
,,,,,,,,m05,Flabellum length,24.58545
,,,,,,,,m06,Labial palpomere 1 length,549.77975
,,,,,,,,m07,Labial palpomere 1 width,65.01966
,,,,,,,,m08,Labial palpomere 2 length,182.46704
,,,,,,,,m09,Labial palpomere 2 width,34.58966
,,,,,,,,m10,Distal labial palpomeres length,58.13394
,,,,,,,,m11,Stipes length,534.527
,,,,,,,,m12,Maxillary palp length,51.8802
,,,,,,,,m13,Galea length,756.94744
