species,x,dietary.breadth.score
mark10,214,
mark20,874,
mark30,1536,
mark40,2196,
mark10,214,
mark20,876,
mark30,1536,
mark40,2196,
mark10,216,
mark20,874,
mark30,1536,
mark40,2194,
auricomus,410,
borealis,610,
pensylvanicus,656,
affinis,872,
fervidus,1024,
terricola,1150,
ternarius,1110,
perplexus,1178,
vagans,1438,
bimaculatus,1486,
griseocollis,1928,
impatiens,2216,
auricomus,412,
borealis,608,
pensylvanicus,656,
affinis,872,
fervidus,1024,
terricola,1148,
ternarius,1112,
perplexus,1178,
vagans,1438,
bimaculatus,1484,
griseocollis,1928,
impatiens,2214,
auricomus,410,
borealis,610,
pensylvanicus,656,
affinis,868,
fervidus,1024,
terricola,1148,
ternarius,1110,
perplexus,1178,
vagans,1438,
bimaculatus,1484,
griseocollis,1928,
impatiens,2218,
