specimen_id,species,caste,image_initials,measure_initials,l1_femurL_1,l1_femurL_2,l1_femurW_1,l1_femurW_2,l1_tibiaL_1,l1_tibiaL_2,l1_tibiaW_1,l1_tibiaW_2,l1_btarsL_1,l1_btarsL_2,l1_btarsW_1,l1_btarsW_2,l2_femurL_1,l2_femurL_2,l2_femurW_1,l2_femurW_2,l2_tibiaL_1,l2_tibiaL_2,l2_tibiaW_1,l2_tibiaW_2,l2_btarsL_1,l2_btarsL_2,l2_btarsW_1,l2_btarsW_2,l3_femurL_1,l3_femurL_2,l3_femurW_1,l3_femurW_2,l3_tibiaL_1,l3_tibiaL_2,l3_tibiaW_1,l3_tibiaW_2,l3_btarsL_1,l3_btarsL_2,l3_btarsW_1,l3_btarsW_2,notes
AO190715-001,imp,W,CL,DMO,,,,,2.393,1.922,0.642,0.594,1.475,1.742,0.594,0.521,2.507,2.896,1.009,0.995,2.383,2.225,0.775,0.909,2.484,2.44,0.607,0.654,3.095,3.081,1.169,0.843,3.332,3.163,1.249,1.241,2.49,2.288,1.191,1.203,
DMO180529-005,vag,W,PF,DMO,3.34,,1.187,,2.763,,0.823,,2.14,,0.769,,4.343,3.922,1.679,1.537,3.387,3.432,1.296,1.324,3.467,3.65,0.973,1.009,4.606,,1.51,,5.548,,1.628,,3.254,,1.316,,
DRA180529-012,vag,W,CL,DMO,3.268,3.367,0.977,0.952,2.782,2.569,0.971,0.646,2.116,2.206,0.579,0.708,3.27,3.231,1.241,1.189,2.908,2.651,1.121,1.215,2.908,2.766,0.813,0.907,4.035,3.766,1.414,1.423,3.339,3.491,1.019,1.091,3.223,3.364,0.976,0.891,
DRA180720-002,vag,W,DY,PF,2.358,2.314,0.736,0.722,1.92,1.894,0.598,0.57,1.498,1.559,0.538,0.447,2.758,2.899,0.977,0.994,2.323,2.473,0.892,0.79,2.264,2.121,0.655,0.637,3.234,2.594,1.021,0.726,3.715,3.475,1.153,1.047,2.266,2.309,0.709,0.824,
DRA180720-009,bor,W,CL,DMO,3.154,,0.637,,2.027,1.921,0.666,0.794,1.668,1.771,0.615,0.587,2.881,,1.103,,2.158,,0.812,,2.517,,0.688,,3.289,3.19,1.087,1.106,3.899,2.57,1.277,0.829,2.439,2.612,1.013,0.805,
DRA180720-010,bor,W,PF,DMO,2.287,,0.732,,2.508,,0.632,,1.866,,0.54,,2.784,,1.138,,2.737,,0.723,,2.748,,0.594,,3.686,,1.105,,4.168,,1.199,,2.804,,0.971,,
DRA180814-003,imp,M,DY,DY,2.814,,0.846,,2.231,,0.702,,1.761,,0.787,,4.013,3.434,1.262,1.287,2.888,2.746,1.088,1.088,2.826,2.901,0.874,1.022,3.758,,1.215,,3.969,4.045,1.607,1.196,2.613,2.696,1.104,0.849,
DRA180814-006,imp,W,CL,DMO,3.046,2.912,0.821,0.808,2.441,2.293,0.819,0.817,2.144,2.154,0.656,0.6,3.114,3.789,1.277,1.259,2.786,3.074,1.239,0.787,3.169,3.265,0.86,1.01,4.252,,1.385,,4.482,4.278,1.347,1.512,3.372,2.952,1.381,1.531,
DRA180814-006,vag,W,PF,DMO,3.255,3.243,0.939,0.896,2.586,2.757,0.701,0.706,2.061,2.212,0.716,0.692,3.724,3.453,1.339,1.509,3.455,3.304,1.03,1.199,3.173,3.21,0.916,0.877,4.022,4.415,1.352,1.195,4.186,4.614,1.314,1.552,3.019,3.086,1.021,1.417,
DRA180814-017,imp,W,CL,DMO,2.041,1.987,0.518,0.528,1.625,1.704,0.522,0.621,1.489,1.448,0.517,0.567,1.98,2.155,0.851,0.885,2.089,1.96,0.728,0.754,2.03,2.113,0.796,0.721,,2.903,,0.913,2.922,2.804,1.036,0.791,2.04,2.189,1.008,0.775,
DRA190709-003,bim,W,DY,DY,1.867,,0.74,,1.97,,0.671,,1.571,,0.507,,2.306,2.814,0.986,0.947,2.252,2.401,0.957,0.944,2.248,,0.742,0.847,3.257,3.068,1.012,1.022,3.046,3.268,0.999,1.157,2.328,2.317,0.708,0.981,
DRA190709-004,imp,W,CL,DMO,,,,,,,,,,,,,,,,,,,,,,,,,3.205,3.201,1.013,1.155,3.327,3.775,0.963,0.878,2.783,2.35,0.99,0.83,
DRA190709-005,imp,W,CL,DMO,,2.435,,0.685,1.876,1.925,0.676,0.745,1.866,1.483,0.642,0.617,2.515,2.978,1.058,1.117,2.561,2.493,0.85,0.922,2.436,2.279,0.729,0.552,4.094,3.343,1.082,0.893,3.71,3.412,1.006,0.87,2.415,2.74,0.85,0.982,
DRA190709-006,vag,W,DY,PF,1.703,1.568,0.336,0.461,1.38,1.35,0.34,0.393,1.15,1.151,0.295,0.333,2.028,2.021,0.71,0.771,1.71,1.581,0.518,0.576,1.637,1.61,0.477,0.359,2.009,2.021,0.65,0.621,2.298,2.273,0.713,0.617,1.624,1.655,0.428,0.37,
DRA190709-007,vag,M,DY,PF,2.264,1.841,0.461,0.506,1.545,1.497,0.396,0.401,1.228,1.315,0.242,0.308,2.428,2.112,0.793,0.768,2.008,1.891,0.639,0.775,1.874,1.996,0.303,0.47,2.467,2.466,0.689,0.742,2.643,2.649,0.672,0.662,2.043,2.014,0.47,0.492,
DRA190709-008,vag,W,DY,PF,1.768,,0.496,,1.472,,0.381,,1.152,,0.375,,2.11,2.111,0.707,0.808,1.671,1.721,0.659,0.685,1.063,1.716,0.34,0.53,2.303,2.275,0.775,0.732,2.729,2.702,0.833,0.67,1.564,1.627,0.511,0.539,
DRA190709-009,vag,W,DY,PF,1.918,,0.511,,1.44,,0.409,,1.076,,0.234,,,,,,,,,,,,,,2.673,2.564,0.733,0.772,2.578,2.62,0.809,0.667,1.999,2.015,0.442,0.391,
DRA190709-010,bim,W,DY,DY,2.566,2.683,0.547,0.874,1.91,1.979,0.838,0.758,1.839,1.757,0.664,0.711,3.014,2.969,1.15,1.295,2.371,2.286,0.971,1.033,2.497,2.384,0.783,0.665,3.221,3.086,1.028,0.923,3.543,3.534,0.905,0.842,2.276,2.297,0.986,0.874,
DRA190709-011,bim,W,DY,DY,2.038,,0.781,,2.023,,0.708,,1.601,,0.567,,2.68,2.721,1.279,1.002,2.256,2.124,0.973,0.915,2.28,2.201,0.757,0.73,2.832,3.676,0.99,1.149,3.137,3.51,0.798,1.003,2.761,2.387,0.866,0.805,
DRA190709-012,bim,W,DY,DY,,,,,,,,,,,,,2.868,2.858,1.188,1.115,2.181,2.339,1.042,0.936,2.154,2.398,0.97,0.658,3.584,3.642,1.062,1.101,3.388,3.122,0.678,1.09,2.186,2.093,0.951,0.838,
DRA190709-013,vag,W,DY,PF,,,,,1.497,,0.431,,1.262,,0.372,,2.135,2.139,0.825,0.773,1.871,1.794,0.722,0.572,1.658,1.723,0.546,0.515,2.425,2.307,0.832,0.779,2.612,2.664,0.908,0.862,1.714,1.868,0.639,0.646,
DRA190709-014,vag,W,DY,PF,1.433,,0.432,,1.313,,0.341,,1.08,,0.328,,2.009,1.945,0.673,0.725,1.592,1.661,0.555,0.59,1.515,1.466,0.361,0.41,2.111,2.22,0.698,0.637,2.207,2.428,0.774,0.686,1.597,1.515,0.513,0.418,
DRA190709-015,terri,W,CL,CL,2.254,2.243,0.528,0.605,1.991,1.715,0.568,0.518,1.637,1.638,0.51,0.532,1.774,1.7,0.802,0.84,2.336,2.271,0.965,0.809,2.396,2.404,0.715,0.553,2.565,2.194,0.76,0.752,3.288,3.339,1.061,1.096,2.359,2.365,0.928,1.143,
DRA190709-016,tern,Q,CL,CL,2.922,3.288,0.945,0.945,2.707,2.634,0.777,0.834,,,0.83,0.883,4.139,3.573,1.442,1.523,3.035,3.41,1.201,1.217,3.464,3.235,0.793,0.872,5.451,,1.723,1.545,5.369,5.12,1.795,1.871,3.473,3.592,1.409,1.452,
DRA190715-001,bim,W,CL,CL,2.483,2.481,0.791,0.655,2.153,1.938,0.626,0.651,2.288,2.047,0.655,0.596,2.924,3.284,1.088,1.016,2.701,2.652,1.087,0.84,2.687,2.674,0.774,0.673,4.149,,1.114,,3.673,,1.075,,2.963,,1.097,,
DRA190718-002,perp,M,CL,CL,2.48,,0.567,,2.08,,0.498,,1.787,,0.459,,2.921,2.798,1.167,1.002,2.812,2.685,1.122,1.041,2.87,2.81,0.528,0.609,4.581,4.494,0.933,0.943,3.761,3.572,0.955,0.981,2.97,2.786,0.683,0.599,
DRA190815-003,imp,W,PF,DMO,2.45,,0.685,,1.968,,0.564,,1.761,,0.441,,,,,,,,,,,,,,3.214,3.255,0.949,1.01,3.581,3.59,1.094,1.029,2.607,2.339,0.878,0.887,
DRA190815-004,imp,W,DY,DY,2.324,2.383,0.682,0.72,2.084,2.01,0.661,0.723,1.845,1.78,0.614,0.723,3.475,3.022,1.13,1.131,2.28,2.7,0.953,1,2.778,2.551,0.91,0.766,3.591,4.034,1.076,1.158,4.065,3.918,1.35,1.224,2.618,2.789,1.083,1.27,
DRA190824-001,tern,W,DY,PF,2.104,1.798,0.437,0.61,1.433,1.394,0.404,0.421,1.213,1.307,0.326,0.357,2.703,2.197,0.821,0.835,1.784,1.759,0.678,0.722,1.685,1.755,0.421,0.501,2.898,,0.829,,2.676,,0.933,,1.752,,0.81,,
DRA190824-003,tern,W,DY,PF,1.923,,0.514,,1.421,,0.542,,1.256,,0.376,,2.603,2.209,0.811,0.854,1.977,1.879,0.778,0.637,1.737,1.718,0.508,0.561,2.264,2.63,0.741,0.741,2.618,2.682,0.693,0.859,1.886,1.691,0.738,0.662,
DRA190824-005,imp,M,DY,DY,3.419,4.036,0.718,0.653,2.276,2.132,0.72,0.658,2.13,1.97,0.613,0.75,3.958,4.097,1.128,1.122,2.826,,1.139,1.437,2.744,2.648,0.79,1.283,4.582,4.582,1.11,1.11,2.583,2.583,1.117,1.117,2.828,2.828,0.727,0.727,
DRA190824-006,imp,W,DY,DY,2.178,2.326,0.537,0.587,1.675,1.679,0.609,0.661,1.532,1.653,0.603,0.522,2.26,3.517,0.944,0.954,1.932,2.431,1.033,1.023,2.11,2.288,0.663,0.644,2.936,2.838,0.963,1.007,3.114,3.16,1.258,1.013,2.415,2,1.154,0.894,
DRA200720-001,vag,W,CL,CL,2.637,2.58,0.588,0.726,2.109,2.019,0.683,0.665,1.991,1.764,0.625,0.617,3.244,3.32,1.044,1.173,2.898,2.484,1.073,0.874,2.425,2.628,0.85,0.831,3.494,3.309,0.962,0.927,3.647,3.725,1.202,1.335,2.743,2.992,0.943,1.078,
DRA200720-002,vag,W,CL,CL,2.596,2.401,0.741,0.83,2.158,1.862,0.656,0.664,1.845,1.815,0.734,0.694,3.013,2.902,1.004,1.094,2.499,2.291,0.965,0.849,2.574,2.736,0.808,0.707,3.38,3.458,0.983,1.055,3.536,3.53,1.367,1.162,3.248,3.267,1.181,1.134,
DRA200720-002,terri,W,CL,CL,2.828,,0.926,,2.454,,0.711,,2.223,,0.491,,3.516,3.397,1.034,1.086,2.818,2.776,0.663,1.015,3.196,3.301,0.68,0.511,4.867,3.899,1.004,1.075,4.414,4.24,1.441,1.253,3.219,3.045,1.056,1.105,
FJ180619-014,vag,W,DY,PF,1.699,,0.505,,1.416,,0.423,,1.032,,0.283,,1.996,2.068,0.767,0.785,1.991,1.84,0.552,0.63,1.594,1.656,0.445,0.3,2.229,2.037,0.798,0.724,2.654,2.442,0.845,0.793,1.608,1.738,0.581,0.608,
FJ190529-001,imp,W,CL,CL,,,,,,,,,,,,,3,4.515,1.55,1.335,3.726,3.718,1.199,1.175,3.696,3.984,1.113,1.016,4.476,5,1.43,1.375,5.556,5.505,1.552,1.676,3.956,4.073,1.418,1.513,
FJ190627-001,bim,W,DY,DY,,,,,,,,,,,,,2.544,2.654,1.141,1.076,2.243,2.488,0.883,0.935,2.113,2.238,0.699,0.636,3.021,2.708,1.126,0.791,2.811,3.446,1.239,0.674,2.346,2.206,0.973,0.812,
FJ190627-002,bim,W,DY,DY,,,,,,,,,,,,,2.521,2.123,0.982,0.791,2.811,2.938,0.849,0.674,2.023,1.925,0.849,0.812,3.021,2.708,1.126,1.038,3,3.446,1.239,1.218,2.346,2.206,0.973,1.04,
FJ190627-003,imp,Q,CL,CL,3.38,2.962,0.997,0.873,2.92,2.713,0.874,0.83,2.658,2.576,0.78,0.953,4.971,4.122,1.499,1.549,3.574,3.648,1.215,1.17,3.627,4.016,0.946,0.933,5.068,5.041,1.457,1.35,5.171,6.117,1.596,1.427,3.751,3.819,1.596,1.153,
FJ190627-004,imp,W,CL,PF,2.412,,0.433,,1.513,,0.535,,1.437,,0.484,,2.401,2.377,0.835,0.887,1.883,2.104,0.804,0.712,2.023,1.99,,0.593,2.676,2.866,0.859,0.779,3.12,2.891,1.027,0.972,1.885,2.281,0.8,0.911,
FJ190627-005,imp,W,CL,PF,2.086,1.83,0.41,0.625,1.649,,0.541,,1.155,,0.416,,2.032,1.671,0.82,0.748,1.766,1.887,0.653,0.574,1.636,1.761,0.457,0.435,2.487,2.511,0.775,0.778,2.813,2.89,0.791,0.851,1.972,1.9,0.695,0.658,
FJ190703-001,vag,W,DY,PF,,,,,,,,,,,,,2.044,1.841,0.797,0.745,1.513,1.76,0.647,0.651,1.466,1.565,0.472,0.496,2.14,1.826,0.778,0.691,2.358,2.4,0.968,0.771,1.639,1.663,0.62,0.627,
FJ190703-002,vag,W,DY,PF,1.699,1.744,0.421,0.374,1.422,1.506,0.478,0.383,1.176,0.901,0.311,0.313,1.87,0.958,0.757,0.493,1.699,1.676,0.714,0.585,1.684,1.683,0.54,0.482,2.086,1.931,0.674,0.705,2.465,2.395,0.579,0.672,1.68,1.658,0.53,0.589,
FJ190703-005,bim,W,DY,DY,2.097,2.284,0.804,0.587,1.959,1.955,0.7,0.672,1.831,1.715,0.589,0.651,2.703,2.273,1.105,1.125,2.23,2.276,0.855,1.229,2.365,2.479,0.696,0.941,3.838,,1.202,,3.816,3.424,1.248,1.4,2.18,1.929,1.11,1.239,
FJ190703-006,vag,W,DY,PF,,,,,,,,,,,,,1.837,1.827,0.735,0.732,1.821,1.771,0.59,0.607,1.647,1.656,0.441,0.472,2.152,,0.763,,2.361,,0.654,,1.674,,0.508,,
FJ190703-008,vag,W,DY,PF,1.554,,0.415,,1.421,,0.432,,1.101,,0.36,,1.195,2.044,0.604,0.63,1.662,1.702,0.665,0.644,1.643,1.626,0.506,0.447,1.177,1.716,0.55,0.607,2.965,2.429,0.977,0.532,1.759,1.677,0.672,0.457,
FJ190703-009,vag,W,DY,PF,1.624,,0.545,,1.553,,0.506,,1.313,,0.349,,2.223,2.236,0.911,0.857,1.973,2.093,0.734,0.659,1.844,1.759,0.522,0.506,2.205,,0.322,,2.889,,0.874,,1.846,,0.873,,
