specimen.id,species.det,provisional.species,caste,its.mm,body.length.mm,mouthparts,forewings,hindwings,legs
AAL230713-001,vagans,cf vagans,W,3.002590823,11.36246985,TRUE,TRUE,TRUE,TRUE
AOI190709-001,borealis,cf fervidus,W,4.687,18.18,TRUE,TRUE,TRUE,FALSE
AOI190715-001,impatiens,cf impatiens,W,3.692388366,13.24034582,TRUE,TRUE,TRUE,TRUE
ASD230629-001,borealis,borealis,W,6.421636832,26.28249948,TRUE,TRUE,TRUE,TRUE
ASD230630-001,impatiens,bimaculatus,W,4.289283673,16.52577036,TRUE,TRUE,TRUE,TRUE
ASD230713-001,vagans,cf vagans,W,4.964886306,15.67525772,TRUE,TRUE,TRUE,TRUE
CAP220712-004,vagans,cf vagans,W,3.932402827,12.18458815,TRUE,TRUE,TRUE,TRUE
CAP220712-009,borealis,cf fervidus,W,4.318937754,16.00800839,TRUE,TRUE,TRUE,FALSE
CAP220712-010,borealis,cf fervidus,W,4.251391416,NA,FALSE,TRUE,TRUE,FALSE
CAP220712-014,borealis,cf fervidus,W,3.619888675,16.88350485,FALSE,TRUE,TRUE,FALSE
CAP220712-017,vagans,cf sandersoni,W,3.401272276,12.8577139,TRUE,TRUE,TRUE,FALSE
DMO180529-005,vagans,,W,6.492,NA,FALSE,TRUE,TRUE,TRUE
DPD230713-001,borealis,,W,6.788133007,NA,FALSE,TRUE,TRUE,TRUE
DRA170708-901,perplexus,cf perplexus,W,3.718285764,16.51166189,TRUE,TRUE,TRUE,FALSE
DRA170708-902,perplexus,cf perplexus,W,NA,15.27606583,TRUE,TRUE,TRUE,FALSE
DRA170914-004,,cf impatiens,W,NA,NA,FALSE,FALSE,FALSE,TRUE
DRA170916-001,impatiens,,W,4.538788204,16.4217438,TRUE,TRUE,TRUE,TRUE
DRA170916-003,rufocinctus,cf rufocinctus,W,3.919006328,16.19718895,TRUE,TRUE,TRUE,TRUE
DRA170916-004a,impatiens,,W,4.014716313,15.25253043,FALSE,TRUE,TRUE,FALSE
DRA170916-004b,impatiens,,W,3.151646517,12.58290674,FALSE,TRUE,TRUE,FALSE
DRA170916-004c,,cf impatiens,W,NA,NA,FALSE,FALSE,FALSE,TRUE
DRA170916-005,impatiens,,W,3.718950666,15.33744945,TRUE,TRUE,TRUE,TRUE
DRA180508-009,impatiens,,Q,NA,NA,FALSE,TRUE,TRUE,FALSE
DRA180509-001,bimaculatus,,Q,7.158,28.844,FALSE,TRUE,TRUE,FALSE
DRA180509-002,bimaculatus,,Q,6.605,25.844,FALSE,TRUE,TRUE,FALSE
DRA180509-004,bimaculatus,,Q,6.747,26.909,FALSE,TRUE,TRUE,FALSE
DRA180509-005,impatiens,,Q,7.311,32.03,FALSE,TRUE,TRUE,FALSE
DRA180509-006,vagans,,Q,7.008,28.377,FALSE,TRUE,TRUE,FALSE
DRA180509-007,vagans,,Q,5.432,22.18,FALSE,TRUE,TRUE,FALSE
DRA180509-008,bimaculatus,,Q,7.096,26.004,FALSE,TRUE,TRUE,FALSE
DRA180523-003,impatiens,,Q,7.263,NA,FALSE,TRUE,TRUE,FALSE
DRA180529-012,vagans,,W,6.036,NA,FALSE,TRUE,TRUE,TRUE
DRA180529-024,vagans,,W,5.986,NA,FALSE,TRUE,TRUE,FALSE
DRA180529-025,impatiens,,Q,6.963,NA,FALSE,TRUE,TRUE,FALSE
DRA180529-026,impatiens,,Q,6.074,32.548,FALSE,TRUE,TRUE,FALSE
DRA180529-029,impatiens,,Q,NA,NA,FALSE,TRUE,TRUE,FALSE
DRA180607-001,impatiens,,Q,6.987,NA,FALSE,TRUE,TRUE,FALSE
DRA180619-003,borealis,,Q,NA,NA,FALSE,TRUE,TRUE,FALSE
DRA180619-004,bimaculatus,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
DRA180623-001,impatiens,,Q,NA,NA,FALSE,TRUE,TRUE,FALSE
DRA180623-002,impatiens,,Q,NA,NA,FALSE,TRUE,TRUE,FALSE
DRA180720-001,vagans,,W,3.218,17.037,FALSE,TRUE,TRUE,FALSE
DRA180720-002,vagans,,W,5.462,23.976,FALSE,TRUE,TRUE,TRUE
DRA180720-003,vagans,,W,2.776,18.557,FALSE,TRUE,TRUE,FALSE
DRA180720-004,vagans,,W,4.034,15.222,FALSE,TRUE,FALSE,FALSE
DRA180720-005,vagans,cf vagans (M),W,5.137254601,18.07360358,FALSE,TRUE,TRUE,FALSE
DRA180720-006,bimaculatus,,W,4.746,17.893,FALSE,TRUE,TRUE,FALSE
DRA180720-007,bimaculatus,,M,4.484,20.826,FALSE,TRUE,TRUE,FALSE
DRA180720-008,bimaculatus,,M,5.228,21.173,FALSE,TRUE,TRUE,FALSE
DRA180720-009,borealis,borealis,W,5.714,21.26,TRUE,TRUE,TRUE,TRUE
DRA180720-010,borealis,,W,5.323,17.276,FALSE,TRUE,TRUE,TRUE
DRA180805-003,vagans,,Q,5.038435206,20.01040965,FALSE,TRUE,TRUE,FALSE
DRA180814-001,vagans,,W,2.905,17.765,FALSE,TRUE,TRUE,FALSE
DRA180814-003,impatiens,,M,5.038,20.01,FALSE,TRUE,TRUE,TRUE
DRA180814-004,borealis,,M,4.413,20.75,FALSE,TRUE,TRUE,FALSE
DRA180814-005,borealis,,M,4.796,17.736,FALSE,TRUE,TRUE,FALSE
DRA180814-006,impatiens,,W,5.383,21.992,FALSE,TRUE,TRUE,TRUE
DRA180814-006a,vagans,,W,6.29,25.394,FALSE,TRUE,TRUE,TRUE
DRA180814-017,impatiens,,W,3.483,15.28,FALSE,TRUE,TRUE,TRUE
DRA180819-002,,cf rufocinctus,M,NA,NA,FALSE,TRUE,TRUE,FALSE
DRA190709-001,vagans,cf sandersoni,W,5.894,23.38,TRUE,TRUE,TRUE,FALSE
DRA190709-003,bimaculatus,bimaculatus,W,4.168,17.494,TRUE,TRUE,TRUE,TRUE
DRA190709-004,impatiens,impatiens,W,4.31,16.697,TRUE,TRUE,TRUE,TRUE
DRA190709-005,impatiens,impatiens,W,4.735,18.494,TRUE,TRUE,TRUE,TRUE
DRA190709-006,vagans,cf vagans,W,4.175311203,17.18806142,TRUE,TRUE,TRUE,TRUE
DRA190709-007,vagans,,M,3.87,16.115,FALSE,TRUE,TRUE,TRUE
DRA190709-008,vagans,cf vagans,W,4.055451822,18.12730416,TRUE,TRUE,TRUE,TRUE
DRA190709-009,vagans,cf vagans,M,3.52150413,18.23129988,TRUE,TRUE,TRUE,TRUE
DRA190709-010,bimaculatus,bimaculatus,W,4.39,19.968,TRUE,TRUE,TRUE,TRUE
DRA190709-011,bimaculatus,bimaculatus,W,4.517,18.998,TRUE,TRUE,TRUE,TRUE
DRA190709-012,bimaculatus,bimaculatus,W,4.268,20.304,TRUE,TRUE,TRUE,TRUE
DRA190709-013,vagans,cf vagans,W,4.092,16.961,TRUE,TRUE,TRUE,TRUE
DRA190709-014,vagans,cf vagans,W,3.816196043,15.42217343,TRUE,TRUE,TRUE,TRUE
DRA190709-015,terricola,,W,4.528,16.985,TRUE,TRUE,TRUE,TRUE
DRA190709-016,ternarius,,Q,6.137,26.448,FALSE,TRUE,TRUE,TRUE
DRA190715-001,bimaculatus,,W,4.582,19.032,FALSE,TRUE,TRUE,TRUE
DRA190718-001,vagans,cf vagans,W,3.834924154,16.86157948,TRUE,FALSE,FALSE,FALSE
DRA190718-002,perplexus,perplexus,M,4.612,17.795,TRUE,TRUE,TRUE,TRUE
DRA190805-005,vagans,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
DRA190815-001,vagans,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
DRA190815-002,impatiens,impatiens,W,4.275624412,17.74775119,TRUE,TRUE,TRUE,FALSE
DRA190815-003,impatiens,impatiens,W,4.01207417,17.81981828,TRUE,TRUE,TRUE,TRUE
DRA190815-004,impatiens,impatiens,W,4.500044577,20.22766202,TRUE,TRUE,TRUE,TRUE
DRA190824-001,ternarius,ternarius,W,3.728090046,15.19538521,TRUE,FALSE,FALSE,TRUE
DRA190824-002,ternarius,ternarius,W,3.50237329,11.50016184,TRUE,FALSE,FALSE,FALSE
DRA190824-003,ternarius,ternarius,W,3.123394776,16.46957931,TRUE,FALSE,FALSE,TRUE
DRA190824-004,impatiens,impatiens,W,4.225454074,15.08757993,TRUE,FALSE,FALSE,FALSE
DRA190824-005,impatiens,impatiens,M,4.157562138,17.19849035,TRUE,FALSE,FALSE,TRUE
DRA190824-006,impatiens,impatiens,W,3.817879397,15.11198098,TRUE,FALSE,FALSE,TRUE
DRA200720-001,,cf vagans,W,NA,NA,FALSE,FALSE,FALSE,TRUE
DRA200720-002a,,terricola,W,NA,NA,FALSE,FALSE,FALSE,TRUE
DRA200720-002b,,cf vagans,W,NA,NA,FALSE,FALSE,FALSE,TRUE
DRA210812-001,rufocinctus,cf rufocinctus,W,3.289862146,13.35016217,TRUE,TRUE,TRUE,TRUE
DRA210812-005,perplexus,cf perplexus,W,4.844010563,15.4074878,TRUE,TRUE,TRUE,TRUE
DRA210812-010,borealis,borealis,M,4.498125021,15.76338714,TRUE,TRUE,TRUE,TRUE
DRA210812-012,perplexus,cf perplexus,W,4.416855769,13.70641689,TRUE,TRUE,TRUE,TRUE
DRA220607-002,impatiens,,Q,4.838549482,19.98011752,FALSE,TRUE,TRUE,FALSE
DRA220617-015,ternarius,ternarius,W,3.862376458,13.95914052,TRUE,TRUE,TRUE,FALSE
DRA220717-001,borealis,borealis,W,5.872149618,25.44993772,TRUE,TRUE,TRUE,FALSE
DRA220719-001,vagans,,Q,5.343442955,23.49572736,FALSE,TRUE,TRUE,FALSE
DRA220721-001,vagans,,W,3.43506705,NA,FALSE,TRUE,TRUE,FALSE
DRA220815-010,borealis,,M,4.272176784,17.14069593,FALSE,TRUE,TRUE,FALSE
DRA220815-011,cf fervidus,,M,4.224244795,18.03329154,FALSE,TRUE,TRUE,FALSE
DRA220815-012,borealis,,M,4.341359476,20.48466356,FALSE,TRUE,TRUE,FALSE
DRA220815-013,borealis,,M,4.56372218,19.46251475,FALSE,TRUE,TRUE,FALSE
DRA220815-015,vagans,,W,3.670708209,16.29874206,FALSE,TRUE,TRUE,FALSE
DRA220815-017,borealis,,M,4.031809959,18.01196124,FALSE,TRUE,TRUE,FALSE
DRA220815-019,borealis,cf fervidus (M),W,5.173178815,20.36429477,FALSE,TRUE,TRUE,FALSE
DRA220815-020,borealis,borealis,M,4.498975388,17.76012006,TRUE,TRUE,TRUE,FALSE
DRA220815-021,borealis,borealis,M,4.597031288,20.05274926,TRUE,TRUE,TRUE,FALSE
DRA220815-023,borealis,borealis,W,5.372300704,18.95427335,TRUE,TRUE,TRUE,FALSE
DRA220815-024,borealis,cf fervidus,W,4.686471622,18.65135402,TRUE,TRUE,TRUE,FALSE
DRA230629-001,borealis,cf borealis,W,5.394189933,23.55372064,TRUE,TRUE,TRUE,TRUE
DRA230713-001,borealis,cf borealis,W,6.063940601,20.81087745,TRUE,TRUE,TRUE,TRUE
ESL230713-001,borealis,cf borealis,W,7.355157413,NA,TRUE,TRUE,TRUE,TRUE
FJ170607-006,vagans,,W,4.735,18.468,FALSE,TRUE,TRUE,FALSE
FJ170617-035,borealis,,W,3.912,16.118,FALSE,TRUE,TRUE,FALSE
FJ170624-002,impatiens,,W,3.961,20.861,FALSE,TRUE,TRUE,FALSE
FJ170624-004,impatiens,,W,3.652,16.164,FALSE,TRUE,TRUE,FALSE
FJ170624-005,impatiens,,W,4.868,18.207,FALSE,TRUE,TRUE,FALSE
FJ170703-037,borealis,,Q,7.267,NA,FALSE,TRUE,TRUE,FALSE
FJ170703-038,vagans,,W,4.769,18.727,FALSE,TRUE,TRUE,FALSE
FJ170703-039,bimaculatus,,W,4.236,15.592,FALSE,TRUE,TRUE,FALSE
FJ170703-041,ternarius,,W,3.997,15.573,FALSE,TRUE,TRUE,FALSE
FJ170703-042,impatiens,,W,3.878,14.182,FALSE,TRUE,TRUE,FALSE
FJ170703-044,impatiens,,W,4.616,NA,FALSE,TRUE,TRUE,FALSE
FJ170703-045,bimaculatus,,W,3.721,NA,FALSE,TRUE,TRUE,FALSE
FJ170703-045a,bimaculatus,,W,NA,NA,FALSE,TRUE,TRUE,FALSE
